,Rank,Nome de usuário,Divisão,Vitórias,Torneios_Jogados,Pontos da liga
1,1.,uL ArgoKR(#1),DesafiantePontos na Liga: 600,6,38,600
2,2.,tikpenJP(#2),DesafiantePontos na Liga: 561,10,40,561
3,3.,PhoenixaaNA(#3),DesafiantePontos na Liga: 559,12,49,559
4,4.,LoescherEUW(#4),DesafiantePontos na Liga: 535,11,32,535
5,5.,TsmmaaNA(#5),DesafiantePontos na Liga: 535,6,48,535
6,6.,SwellerTigerEUW(#6),DesafiantePontos na Liga: 527,6,39,527
7,7.,TFT VX 674706031NA(#7),DesafiantePontos na Liga: 507,16,49,507
8,"(function() {                                if(window['nitroAds']){                                    if(window.innerWidth >= 767){                                        if(true){                                            document.getElementById('adasync847397').innerHTML = '<div id=""tftTopPlayers"" class=""ads ad doubleclick ad-placement carbon-ads"" style=""min-height: 250px; margin-top:0px; margin-bottom:0px""></div>';                                            window['nitroAds'].createAd(""tftTopPlayers"", {""floor"": 0.2, ""refreshLimit"": 10, ""refreshTime"": 30, skipBidders:[], ""sizes"": [[300, 250]], ""report"":{""enabled"":true,""wording"":""Report Ad"",""position"":""bottom-right""}});                                        }                                    } else {                                        if(true) {                                            document.getElementById('adasync847397').innerHTML = '<div id=""tftTopPlayers-mobile"" class=""ads ad doubleclick ad-placement carbon-ads"" style=""min-height: 250px; margin-top:0px; margin-bottom:0px""></div>';                                            window['nitroAds'].createAd(""tftTopPlayers-mobile"", {""floor"": 0.2, ""refreshLimit"": 10, ""refreshTime"": 30, skipBidders:[""dfp""], ""sizes"": [[300, 250]], ""report"":{""enabled"":true,""wording"":""Report Ad"",""position"":""bottom-right""}});                                        }                                    }                                }                            })();",,,,,
9,8.,WP SzatiEUNE(#8),DesafiantePontos na Liga: 481,9,36,481
10,9.,DıshsoapNA(#9),DesafiantePontos na Liga: 479,9,30,479
11,10.,금발태닝안정현KR(#10),GrandMasterPontos na Liga: 544,11,56,544
12,11.,AngoraOCE(#11),GrandMasterPontos na Liga: 510,11,35,510
13,12.,GunmayEUNE(#12),GrandMasterPontos na Liga: 500,9,40,500
14,13.,오박사TVKR(#13),GrandMasterPontos na Liga: 496,8,40,496
15,14.,2yi9NA(#14),GrandMasterPontos na Liga: 478,12,29,478
16,15.,sètsukoNA(#15),GrandMasterPontos na Liga: 468,10,32,468
17,16.,L3S CocoEUW(#16),GrandMasterPontos na Liga: 458,10,39,458
18,17.,AU PoisonLAS(#17),GrandMasterPontos na Liga: 428,10,31,428
19,18.,uL 판키KR(#18),GrandMasterPontos na Liga: 427,5,44,427
20,19.,aLeProfaneRU(#19),GrandMasterPontos na Liga: 426,12,34,426
21,20.,AU ClaveLAN(#20),GrandMasterPontos na Liga: 419,8,25,419
22,21.,WestbludTR(#21),GrandMasterPontos na Liga: 416,7,34,416
23,22.,AEG MagarkyEUW(#22),GrandMasterPontos na Liga: 402,12,40,402
24,23.,녹턴오빠불좀꺼KR(#23),GrandMasterPontos na Liga: 398,13,53,398
25,24.,illectr0TR(#24),GrandMasterPontos na Liga: 386,12,45,386
26,25.,ChunChunMaru uwuNA(#25),GrandMasterPontos na Liga: 382,13,49,382
27,26.,titleJP(#26),GrandMasterPontos na Liga: 381,12,37,381
28,27.,아가돼지 서기KR(#27),GrandMasterPontos na Liga: 381,11,47,381
29,28.,ReddiNA(#28),GrandMasterPontos na Liga: 380,7,34,380
30,29.,Monsieur TarteEUW(#29),GrandMasterPontos na Liga: 378,4,41,378
31,30.,YushOCE(#30),GrandMasterPontos na Liga: 377,8,32,377
32,31.,uL 빈틈KR(#31),GrandMasterPontos na Liga: 372,9,43,372
33,32.,Q1G ViciuuSSLAS(#32),GrandMasterPontos na Liga: 369,12,34,369
34,33.,TorlkEUW(#33),GrandMasterPontos na Liga: 369,11,49,369
35,34.,gluteuseuneEUNE(#34),GrandMasterPontos na Liga: 365,7,29,365
36,35.,EunucãoBR(#35),GrandMasterPontos na Liga: 364,9,29,364
37,36.,EMS NiihiIBR(#36),GrandMasterPontos na Liga: 362,10,33,362
38,37.,SarinoGGLAN(#37),GrandMasterPontos na Liga: 360,8,27,360
39,38.,AEG PasDeBolEUW(#38),GrandMasterPontos na Liga: 359,9,33,359
40,39.,우리모두타요KR(#39),GrandMasterPontos na Liga: 349,8,49,349
41,40.,덕소나몽이KR(#40),GrandMasterPontos na Liga: 348,13,61,348
42,41.,RelicEn 2022 lulLAN(#41),GrandMasterPontos na Liga: 348,12,32,348
43,42.,uL 쵸리KR(#42),GrandMasterPontos na Liga: 347,8,55,347
44,43.,NosterelevenNA(#43),GrandMasterPontos na Liga: 346,7,38,346
45,44.,명예 0렙 찍기KR(#44),GrandMasterPontos na Liga: 341,9,45,341
46,45.,flowlife2KR(#45),GrandMasterPontos na Liga: 341,6,53,341
47,46.,lIIlIllllIIIIlKR(#46),GrandMasterPontos na Liga: 341,5,29,341
48,47.,LastKardaxEUW(#47),GrandMasterPontos na Liga: 339,7,32,339
49,48.,BES ego illusionBR(#48),GrandMasterPontos na Liga: 337,8,32,337
50,49.,불암초척추분쇄기KR(#49),GrandMasterPontos na Liga: 333,10,57,333
51,50.,DragonSlayerCobLAN(#50),GrandMasterPontos na Liga: 333,7,36,333
52,51.,DV1 shircaneEUW(#51),GrandMasterPontos na Liga: 333,6,36,333
53,52.,Liquid RobinNA(#52),GrandMasterPontos na Liga: 333,4,25,333
54,53.,Liquid SnoodybooEUW(#53),GrandMasterPontos na Liga: 330,15,52,330
55,54.,uL PadoKR(#54),GrandMasterPontos na Liga: 327,9,37,327
56,55.,아이디는꽉채워야제맛KR(#55),GrandMasterPontos na Liga: 322,10,27,322
57,56.,LIL EnzosexeEUW(#56),GrandMasterPontos na Liga: 319,5,34,319
58,57.,SundryBatonLAN(#57),GrandMasterPontos na Liga: 317,10,40,317
59,58.,BGN FaellanEUW(#58),GrandMasterPontos na Liga: 317,8,39,317
60,59.,C9 k3sojuNA(#59),GrandMasterPontos na Liga: 316,12,47,316
61,60.,PawnupNA(#60),GrandMasterPontos na Liga: 316,6,41,316
62,61.,SpritneyBiersEUW(#61),GrandMasterPontos na Liga: 315,7,34,315
63,62.,CynarrEUW(#62),GrandMasterPontos na Liga: 313,8,35,313
64,63.,Liquid GooseNA(#63),GrandMasterPontos na Liga: 310,7,37,310
65,64.,xiao dian dianNA(#64),GrandMasterPontos na Liga: 309,8,43,309
66,65.,happy0112EUNE(#65),GrandMasterPontos na Liga: 306,8,32,306
67,66.,표 면KR(#66),GrandMasterPontos na Liga: 306,7,34,306
68,67.,SphinxNA(#67),GrandMasterPontos na Liga: 306,6,38,306
69,68.,mike4mikeNA(#68),GrandMasterPontos na Liga: 305,10,51,305
70,69.,BG181818BGEUNE(#69),GrandMasterPontos na Liga: 303,8,33,303
71,70.,Koala EsbeltoBR(#70),GrandMasterPontos na Liga: 303,7,35,303
72,71.,JayPLEUW(#71),GrandMasterPontos na Liga: 302,9,46,302
73,72.,humbugNA(#72),GrandMasterPontos na Liga: 301,8,33,301
74,73.,DusuncesızlıkTR(#73),GrandMasterPontos na Liga: 300,8,39,300
75,74.,ccaselyNA(#74),GrandMasterPontos na Liga: 299,9,46,299
76,75.,TapLastEUNE(#75),GrandMasterPontos na Liga: 298,8,38,298
77,76.,BEE xiellendarioEUW(#76),GrandMasterPontos na Liga: 292,6,44,292
78,77.,YippeeMaokaiYayNA(#77),GrandMasterPontos na Liga: 290,6,31,290
79,78.,NG bossoskillsNA(#78),GrandMasterPontos na Liga: 289,6,37,289
80,79.,KinGKraXxNA(#79),GrandMasterPontos na Liga: 289,5,25,289
81,80.,AceofSpadesITAEUW(#80),GrandMasterPontos na Liga: 287,8,39,287
82,81.,BES NarkeshBR(#81),GrandMasterPontos na Liga: 286,6,30,286
83,82.,RamKevNA(#82),GrandMasterPontos na Liga: 284,7,28,284
84,83.,Best 佐藤 JPJP(#83),GrandMasterPontos na Liga: 283,7,39,283
85,84.,AI CE TOMABR(#84),GrandMasterPontos na Liga: 281,9,25,281
86,85.,FadderEUNE(#85),GrandMasterPontos na Liga: 279,8,35,279
87,86.,PD Ch1wyLAN(#86),GrandMasterPontos na Liga: 278,7,31,278
88,87.,Af0njjaRU(#87),GrandMasterPontos na Liga: 274,6,21,274
89,88.,iG NoobowlNA(#88),GrandMasterPontos na Liga: 273,6,33,273
90,89.,HyunTerTR(#89),GrandMasterPontos na Liga: 272,8,35,272
91,90.,BD WedBR(#90),GrandMasterPontos na Liga: 265,11,47,265
92,91.,KRC BriksTNRU(#91),GrandMasterPontos na Liga: 260,10,25,260
93,92.,TR MükemmelTR(#92),GrandMasterPontos na Liga: 258,12,48,258
94,93.,iG guubumsNA(#93),GrandMasterPontos na Liga: 258,5,19,258
95,94.,BEE ErithBR(#94),GrandMasterPontos na Liga: 257,5,20,257
96,95.,RubicTR(#95),GrandMasterPontos na Liga: 256,8,27,256
97,96.,Rank 1 EUNE TFTEUNE(#96),GrandMasterPontos na Liga: 251,10,34,251
98,97.,DV1 TSW5EUW(#97),GrandMasterPontos na Liga: 248,9,32,248
99,98.,dosaidon0JP(#98),GrandMasterPontos na Liga: 247,5,29,247
100,99.,profesorkubaEUNE(#99),GrandMasterPontos na Liga: 246,7,29,246
101,100.,FurriyaEUW(#100),GrandMasterPontos na Liga: 243,8,35,243
